op1	operation	op2	result	correct	dev	label	subject	Weight	Nested	Procedure
9	+	7	16	1	0	9 + 7 = 16	51	1		TrialProc
3	+	9	11	0	-1	3 + 9 = 11	51	1		TrialProc
6	+	6	12	1	0	6 + 6 = 12	51	1		TrialProc
8	+	7	15	1	0	8 + 7 = 15	51	1		TrialProc
8	-	6	0	0	-2	8 - 6 = 0	51	1		TrialProc
6	-	5	1	1	0	6 - 5 = 1	51	1		TrialProc
9	+	9	16	0	-2	9 + 9 = 16	51	1		TrialProc
4	-	6	-2	1	0	4 - 6 = -2	51	1		TrialProc
5	-	8	-4	0	-1	5 - 8 = -4	51	1		TrialProc
9	-	8	-1	0	-2	9 - 8 = -1	51	1		TrialProc
3	+	3	4	0	-2	3 + 3 = 4	51	1		TrialProc
7	+	2	9	1	0	7 + 2 = 9	51	1		TrialProc
7	-	9	-3	0	-1	7 - 9 = -3	51	1		TrialProc
7	-	3	3	0	-1	7 - 3 = 3	51	1		TrialProc
7	+	8	15	1	0	7 + 8 = 15	51	1		TrialProc
3	+	4	7	1	0	3 + 4 = 7	51	1		TrialProc
7	+	7	13	0	-1	7 + 7 = 13	51	1		TrialProc
2	+	9	10	0	-1	2 + 9 = 10	51	1		TrialProc
2	+	7	9	1	0	2 + 7 = 9	51	1		TrialProc
7	+	8	13	0	-2	7 + 8 = 13	51	1		TrialProc
9	-	8	1	1	0	9 - 8 = 1	51	1		TrialProc
2	-	9	-7	1	0	2 - 9 = -7	51	1		TrialProc
3	-	2	0	0	-1	3 - 2 = 0	51	1		TrialProc
4	-	7	-3	1	0	4 - 7 = -3	51	1		TrialProc
6	-	5	1	1	0	6 - 5 = 1	51	1		TrialProc
4	+	2	5	0	-1	4 + 2 = 5	51	1		TrialProc
8	-	9	-2	0	-1	8 - 9 = -2	51	1		TrialProc
4	+	7	10	0	-1	4 + 7 = 10	51	1		TrialProc
5	-	6	-1	1	0	5 - 6 = -1	51	1		TrialProc
9	+	5	14	1	0	9 + 5 = 14	51	1		TrialProc
7	+	7	12	0	-2	7 + 7 = 12	51	1		TrialProc
6	-	6	0	1	0	6 - 6 = 0	51	1		TrialProc
9	-	6	1	0	-2	9 - 6 = 1	51	1		TrialProc
4	-	4	0	1	0	4 - 4 = 0	51	1		TrialProc
8	-	8	0	1	0	8 - 8 = 0	51	1		TrialProc
3	-	8	-7	0	-2	3 - 8 = -7	51	1		TrialProc
7	-	8	-3	0	-2	7 - 8 = -3	51	1		TrialProc
5	+	9	14	1	0	5 + 9 = 14	51	1		TrialProc
9	-	2	5	0	-2	9 - 2 = 5	51	1		TrialProc
5	-	9	-6	0	-2	5 - 9 = -6	51	1		TrialProc
3	-	2	1	1	0	3 - 2 = 1	51	1		TrialProc
5	+	9	13	0	-1	5 + 9 = 13	51	1		TrialProc
5	+	3	8	1	0	5 + 3 = 8	51	1		TrialProc
8	+	9	15	0	-2	8 + 9 = 15	51	1		TrialProc
7	+	7	13	0	-1	7 + 7 = 13	51	1		TrialProc
6	-	5	0	0	-1	6 - 5 = 0	51	1		TrialProc
9	-	2	5	0	-2	9 - 2 = 5	52	1		TrialProc
3	+	3	5	0	-1	3 + 3 = 5	52	1		TrialProc
8	+	6	14	1	0	8 + 6 = 14	52	1		TrialProc
3	-	5	-4	0	-2	3 - 5 = -4	52	1		TrialProc
6	+	7	11	0	-2	6 + 7 = 11	52	1		TrialProc
2	-	5	-3	1	0	2 - 5 = -3	52	1		TrialProc
8	+	3	11	1	0	8 + 3 = 11	52	1		TrialProc
5	+	4	9	1	0	5 + 4 = 9	52	1		TrialProc
4	-	6	-2	1	0	4 - 6 = -2	52	1		TrialProc
4	-	8	-4	1	0	4 - 8 = -4	52	1		TrialProc
9	+	9	18	1	0	9 + 9 = 18	52	1		TrialProc
4	-	5	-3	0	-2	4 - 5 = -3	52	1		TrialProc
6	-	8	-4	0	-2	6 - 8 = -4	52	1		TrialProc
9	+	9	16	0	-2	9 + 9 = 16	52	1		TrialProc
2	-	9	-7	1	0	2 - 9 = -7	52	1		TrialProc
2	-	3	-1	1	0	2 - 3 = -1	52	1		TrialProc
6	+	4	10	1	0	6 + 4 = 10	52	1		TrialProc
8	-	6	1	0	-1	8 - 6 = 1	52	1		TrialProc
5	-	2	2	0	-1	5 - 2 = 2	52	1		TrialProc
9	+	9	17	0	-1	9 + 9 = 17	52	1		TrialProc
2	-	5	-3	1	0	2 - 5 = -3	52	1		TrialProc
7	+	5	10	0	-2	7 + 5 = 10	52	1		TrialProc
8	+	8	14	0	-2	8 + 8 = 14	52	1		TrialProc
4	+	7	11	1	0	4 + 7 = 11	52	1		TrialProc
5	+	9	12	0	-2	5 + 9 = 12	52	1		TrialProc
8	-	8	0	1	0	8 - 8 = 0	52	1		TrialProc
3	+	7	8	0	-2	3 + 7 = 8	52	1		TrialProc
2	+	3	4	0	-1	2 + 3 = 4	52	1		TrialProc
2	-	9	-7	1	0	2 - 9 = -7	52	1		TrialProc
6	+	4	10	1	0	6 + 4 = 10	52	1		TrialProc
6	-	6	-2	0	-2	6 - 6 = -2	52	1		TrialProc
8	+	8	16	1	0	8 + 8 = 16	52	1		TrialProc
8	+	3	11	1	0	8 + 3 = 11	52	1		TrialProc
9	-	6	3	1	0	9 - 6 = 3	52	1		TrialProc
7	-	2	4	0	-1	7 - 2 = 4	52	1		TrialProc
5	+	9	13	0	-1	5 + 9 = 13	52	1		TrialProc
3	+	6	9	1	0	3 + 6 = 9	52	1		TrialProc
3	+	7	10	1	0	3 + 7 = 10	52	1		TrialProc
6	-	9	-5	0	-2	6 - 9 = -5	52	1		TrialProc
3	-	7	-4	1	0	3 - 7 = -4	52	1		TrialProc
9	-	4	5	1	0	9 - 4 = 5	52	1		TrialProc
9	-	5	4	1	0	9 - 5 = 4	52	1		TrialProc
2	-	7	-7	0	-2	2 - 7 = -7	52	1		TrialProc
7	+	6	13	1	0	7 + 6 = 13	52	1		TrialProc
2	+	6	8	1	0	2 + 6 = 8	52	1		TrialProc
3	-	7	-6	0	-2	3 - 7 = -6	52	1		TrialProc
4	+	6	10	1	0	4 + 6 = 10	52	1		TrialProc
8	-	6	2	1	0	8 - 6 = 2	52	1		TrialProc
2	+	9	10	0	-1	2 + 9 = 10	52	1		TrialProc
6	-	9	-4	0	-1	6 - 9 = -4	52	1		TrialProc
4	-	8	-4	1	0	4 - 8 = -4	52	1		TrialProc
3	+	8	10	0	-1	3 + 8 = 10	52	1		TrialProc
9	-	7	0	0	-2	9 - 7 = 0	52	1		TrialProc
7	-	3	2	0	-2	7 - 3 = 2	52	1		TrialProc
3	-	3	0	1	0	3 - 3 = 0	52	1		TrialProc
3	+	2	4	0	-1	3 + 2 = 4	52	1		TrialProc
9	-	8	-1	0	-2	9 - 8 = -1	52	1		TrialProc
8	+	5	11	0	-2	8 + 5 = 11	52	1		TrialProc
7	+	8	15	1	0	7 + 8 = 15	52	1		TrialProc
4	+	2	5	0	-1	4 + 2 = 5	52	1		TrialProc
6	+	4	10	1	0	6 + 4 = 10	53	1		TrialProc
7	+	9	16	1	0	7 + 9 = 16	53	1		TrialProc
5	+	8	13	1	0	5 + 8 = 13	53	1		TrialProc
3	-	7	-4	1	0	3 - 7 = -4	53	1		TrialProc
4	+	3	7	1	0	4 + 3 = 7	53	1		TrialProc
9	+	3	12	1	0	9 + 3 = 12	53	1		TrialProc
8	-	8	-2	0	-2	8 - 8 = -2	53	1		TrialProc
5	+	5	8	0	-2	5 + 5 = 8	53	1		TrialProc
8	-	4	4	1	0	8 - 4 = 4	53	1		TrialProc
8	+	8	14	0	-2	8 + 8 = 14	53	1		TrialProc
4	+	2	4	0	-2	4 + 2 = 4	53	1		TrialProc
5	+	7	10	0	-2	5 + 7 = 10	53	1		TrialProc
8	-	2	5	0	-1	8 - 2 = 5	53	1		TrialProc
5	-	8	-5	0	-2	5 - 8 = -5	53	1		TrialProc
5	-	4	-1	0	-2	5 - 4 = -1	53	1		TrialProc
5	-	7	-2	1	0	5 - 7 = -2	53	1		TrialProc
4	-	6	-4	0	-2	4 - 6 = -4	53	1		TrialProc
9	+	6	15	1	0	9 + 6 = 15	53	1		TrialProc
2	-	4	-4	0	-2	2 - 4 = -4	53	1		TrialProc
6	+	6	10	0	-2	6 + 6 = 10	53	1		TrialProc
9	+	2	11	1	0	9 + 2 = 11	53	1		TrialProc
4	+	4	8	1	0	4 + 4 = 8	53	1		TrialProc
5	-	7	-2	1	0	5 - 7 = -2	53	1		TrialProc
3	-	4	-1	1	0	3 - 4 = -1	53	1		TrialProc
2	+	8	9	0	-1	2 + 8 = 9	53	1		TrialProc
7	+	3	10	1	0	7 + 3 = 10	53	1		TrialProc
5	-	4	0	0	-1	5 - 4 = 0	53	1		TrialProc
7	-	3	4	1	0	7 - 3 = 4	53	1		TrialProc
2	+	2	2	0	-2	2 + 2 = 2	53	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	53	1		TrialProc
4	-	5	-3	0	-2	4 - 5 = -3	53	1		TrialProc
4	+	6	8	0	-2	4 + 6 = 8	53	1		TrialProc
3	-	6	-5	0	-2	3 - 6 = -5	53	1		TrialProc
4	+	6	10	1	0	4 + 6 = 10	53	1		TrialProc
3	+	2	3	0	-2	3 + 2 = 3	53	1		TrialProc
2	-	6	-6	0	-2	2 - 6 = -6	53	1		TrialProc
2	+	5	6	0	-1	2 + 5 = 6	53	1		TrialProc
9	+	4	13	1	0	9 + 4 = 13	53	1		TrialProc
5	+	3	7	0	-1	5 + 3 = 7	53	1		TrialProc
9	-	2	7	1	0	9 - 2 = 7	53	1		TrialProc
8	-	4	4	1	0	8 - 4 = 4	53	1		TrialProc
6	-	6	0	1	0	6 - 6 = 0	53	1		TrialProc
9	+	5	13	0	-1	9 + 5 = 13	53	1		TrialProc
5	-	3	2	1	0	5 - 3 = 2	53	1		TrialProc
8	-	7	-1	0	-2	8 - 7 = -1	53	1		TrialProc
8	-	3	4	0	-1	8 - 3 = 4	53	1		TrialProc
2	+	2	2	0	-2	2 + 2 = 2	53	1		TrialProc
2	-	7	-6	0	-1	2 - 7 = -6	53	1		TrialProc
3	-	2	1	1	0	3 - 2 = 1	53	1		TrialProc
9	-	9	-2	0	-2	9 - 9 = -2	53	1		TrialProc
4	+	9	13	1	0	4 + 9 = 13	53	1		TrialProc
5	-	2	3	1	0	5 - 2 = 3	53	1		TrialProc
4	+	3	5	0	-2	4 + 3 = 5	53	1		TrialProc
5	+	5	9	0	-1	5 + 5 = 9	53	1		TrialProc
2	+	5	7	1	0	2 + 5 = 7	53	1		TrialProc
4	+	4	8	1	0	4 + 4 = 8	53	1		TrialProc
8	-	3	5	1	0	8 - 3 = 5	53	1		TrialProc
6	-	3	2	0	-1	6 - 3 = 2	53	1		TrialProc
5	-	9	-4	1	0	5 - 9 = -4	53	1		TrialProc
3	+	3	6	1	0	3 + 3 = 6	53	1		TrialProc
9	+	7	16	1	0	9 + 7 = 16	54	1		TrialProc
6	-	2	2	0	-2	6 - 2 = 2	54	1		TrialProc
7	-	8	-3	0	-2	7 - 8 = -3	54	1		TrialProc
2	-	8	-6	1	0	2 - 8 = -6	54	1		TrialProc
5	-	2	1	0	-2	5 - 2 = 1	54	1		TrialProc
7	+	4	11	1	0	7 + 4 = 11	54	1		TrialProc
8	+	7	14	0	-1	8 + 7 = 14	54	1		TrialProc
6	-	7	-2	0	-1	6 - 7 = -2	54	1		TrialProc
9	+	9	18	1	0	9 + 9 = 18	54	1		TrialProc
2	-	4	-3	0	-1	2 - 4 = -3	54	1		TrialProc
6	+	6	12	1	0	6 + 6 = 12	54	1		TrialProc
4	+	8	11	0	-1	4 + 8 = 11	54	1		TrialProc
2	+	8	9	0	-1	2 + 8 = 9	54	1		TrialProc
7	-	7	0	1	0	7 - 7 = 0	54	1		TrialProc
2	+	5	6	0	-1	2 + 5 = 6	54	1		TrialProc
6	+	8	14	1	0	6 + 8 = 14	54	1		TrialProc
7	+	4	11	1	0	7 + 4 = 11	54	1		TrialProc
9	-	2	7	1	0	9 - 2 = 7	54	1		TrialProc
7	+	6	13	1	0	7 + 6 = 13	54	1		TrialProc
2	+	4	5	0	-1	2 + 4 = 5	54	1		TrialProc
8	+	3	10	0	-1	8 + 3 = 10	54	1		TrialProc
2	+	7	9	1	0	2 + 7 = 9	54	1		TrialProc
9	-	3	6	1	0	9 - 3 = 6	54	1		TrialProc
4	+	4	8	1	0	4 + 4 = 8	54	1		TrialProc
9	+	8	15	0	-2	9 + 8 = 15	54	1		TrialProc
3	+	2	5	1	0	3 + 2 = 5	54	1		TrialProc
8	-	2	5	0	-1	8 - 2 = 5	54	1		TrialProc
6	+	7	13	1	0	6 + 7 = 13	54	1		TrialProc
2	-	7	-7	0	-2	2 - 7 = -7	54	1		TrialProc
6	-	4	2	1	0	6 - 4 = 2	54	1		TrialProc
6	-	8	-2	1	0	6 - 8 = -2	54	1		TrialProc
5	-	5	-2	0	-2	5 - 5 = -2	54	1		TrialProc
5	-	8	-3	1	0	5 - 8 = -3	54	1		TrialProc
4	-	9	-5	1	0	4 - 9 = -5	54	1		TrialProc
7	-	4	1	0	-2	7 - 4 = 1	54	1		TrialProc
7	-	9	-2	1	0	7 - 9 = -2	54	1		TrialProc
2	-	6	-4	1	0	2 - 6 = -4	54	1		TrialProc
2	-	8	-6	1	0	2 - 8 = -6	54	1		TrialProc
4	-	3	0	0	-1	4 - 3 = 0	54	1		TrialProc
9	-	4	4	0	-1	9 - 4 = 4	54	1		TrialProc
8	-	8	-1	0	-1	8 - 8 = -1	54	1		TrialProc
5	-	2	3	1	0	5 - 2 = 3	54	1		TrialProc
8	+	7	15	1	0	8 + 7 = 15	54	1		TrialProc
4	+	3	5	0	-2	4 + 3 = 5	54	1		TrialProc
4	-	3	0	0	-1	4 - 3 = 0	54	1		TrialProc
8	+	9	17	1	0	8 + 9 = 17	54	1		TrialProc
9	+	2	10	0	-1	9 + 2 = 10	54	1		TrialProc
9	+	9	16	0	-2	9 + 9 = 16	54	1		TrialProc
2	+	4	5	0	-1	2 + 4 = 5	54	1		TrialProc
6	-	2	4	1	0	6 - 2 = 4	54	1		TrialProc
3	-	6	-3	1	0	3 - 6 = -3	54	1		TrialProc
4	+	2	5	0	-1	4 + 2 = 5	54	1		TrialProc
8	+	4	11	0	-1	8 + 4 = 11	54	1		TrialProc
3	+	9	12	1	0	3 + 9 = 12	54	1		TrialProc
3	+	6	7	0	-2	3 + 6 = 7	54	1		TrialProc
9	+	6	14	0	-1	9 + 6 = 14	54	1		TrialProc
4	+	3	7	1	0	4 + 3 = 7	54	1		TrialProc
2	-	5	-4	0	-1	2 - 5 = -4	54	1		TrialProc
7	-	9	-2	1	0	7 - 9 = -2	54	1		TrialProc
6	-	3	1	0	-2	6 - 3 = 1	54	1		TrialProc
5	+	7	11	0	-1	5 + 7 = 11	55	1		TrialProc
6	-	5	1	1	0	6 - 5 = 1	55	1		TrialProc
2	-	8	-6	1	0	2 - 8 = -6	55	1		TrialProc
4	-	9	-6	0	-1	4 - 9 = -6	55	1		TrialProc
9	+	8	17	1	0	9 + 8 = 17	55	1		TrialProc
9	+	9	16	0	-2	9 + 9 = 16	55	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	55	1		TrialProc
9	-	9	-1	0	-1	9 - 9 = -1	55	1		TrialProc
9	+	3	12	1	0	9 + 3 = 12	55	1		TrialProc
5	+	6	11	1	0	5 + 6 = 11	55	1		TrialProc
9	+	9	18	1	0	9 + 9 = 18	55	1		TrialProc
7	-	7	0	1	0	7 - 7 = 0	55	1		TrialProc
2	+	8	8	0	-2	2 + 8 = 8	55	1		TrialProc
9	-	9	-1	0	-1	9 - 9 = -1	55	1		TrialProc
2	-	4	-3	0	-1	2 - 4 = -3	55	1		TrialProc
6	-	6	-2	0	-2	6 - 6 = -2	55	1		TrialProc
5	+	9	12	0	-2	5 + 9 = 12	55	1		TrialProc
7	+	4	9	0	-2	7 + 4 = 9	55	1		TrialProc
8	+	7	15	1	0	8 + 7 = 15	55	1		TrialProc
4	+	4	7	0	-1	4 + 4 = 7	55	1		TrialProc
4	-	6	-2	1	0	4 - 6 = -2	55	1		TrialProc
4	+	2	6	1	0	4 + 2 = 6	55	1		TrialProc
5	+	4	8	0	-1	5 + 4 = 8	55	1		TrialProc
3	-	9	-6	1	0	3 - 9 = -6	55	1		TrialProc
5	-	8	-3	1	0	5 - 8 = -3	55	1		TrialProc
5	+	3	8	1	0	5 + 3 = 8	55	1		TrialProc
7	-	8	-3	0	-2	7 - 8 = -3	55	1		TrialProc
2	-	5	-3	1	0	2 - 5 = -3	55	1		TrialProc
3	+	7	10	1	0	3 + 7 = 10	55	1		TrialProc
5	-	9	-4	1	0	5 - 9 = -4	55	1		TrialProc
5	-	3	1	0	-1	5 - 3 = 1	55	1		TrialProc
5	+	5	10	1	0	5 + 5 = 10	55	1		TrialProc
7	+	4	11	1	0	7 + 4 = 11	55	1		TrialProc
8	+	7	15	1	0	8 + 7 = 15	55	1		TrialProc
4	+	5	8	0	-1	4 + 5 = 8	55	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	55	1		TrialProc
6	+	6	11	0	-1	6 + 6 = 11	55	1		TrialProc
6	-	3	3	1	0	6 - 3 = 3	55	1		TrialProc
6	-	7	-2	0	-1	6 - 7 = -2	55	1		TrialProc
2	+	3	5	1	0	2 + 3 = 5	55	1		TrialProc
9	+	9	17	0	-1	9 + 9 = 17	55	1		TrialProc
2	-	9	-8	0	-1	2 - 9 = -8	55	1		TrialProc
6	-	6	-2	0	-2	6 - 6 = -2	55	1		TrialProc
2	-	3	-1	1	0	2 - 3 = -1	55	1		TrialProc
3	-	9	-6	1	0	3 - 9 = -6	55	1		TrialProc
7	+	2	8	0	-1	7 + 2 = 8	55	1		TrialProc
3	+	3	6	1	0	3 + 3 = 6	55	1		TrialProc
6	-	5	-1	0	-2	6 - 5 = -1	55	1		TrialProc
2	+	6	7	0	-1	2 + 6 = 7	55	1		TrialProc
9	+	9	18	1	0	9 + 9 = 18	55	1		TrialProc
6	+	9	15	1	0	6 + 9 = 15	55	1		TrialProc
8	-	4	4	1	0	8 - 4 = 4	55	1		TrialProc
6	+	2	6	0	-2	6 + 2 = 6	55	1		TrialProc
7	-	3	3	0	-1	7 - 3 = 3	55	1		TrialProc
3	-	7	-5	0	-1	3 - 7 = -5	55	1		TrialProc
6	+	3	8	0	-1	6 + 3 = 8	55	1		TrialProc
2	+	9	9	0	-2	2 + 9 = 9	55	1		TrialProc
5	-	6	-3	0	-2	5 - 6 = -3	55	1		TrialProc
8	-	6	2	1	0	8 - 6 = 2	55	1		TrialProc
3	-	3	-1	0	-1	3 - 3 = -1	55	1		TrialProc
5	+	2	7	1	0	5 + 2 = 7	56	1		TrialProc
7	+	6	13	1	0	7 + 6 = 13	56	1		TrialProc
2	+	8	10	1	0	2 + 8 = 10	56	1		TrialProc
8	-	8	-2	0	-2	8 - 8 = -2	56	1		TrialProc
3	+	6	9	1	0	3 + 6 = 9	56	1		TrialProc
7	-	8	-1	1	0	7 - 8 = -1	56	1		TrialProc
3	-	8	-7	0	-2	3 - 8 = -7	56	1		TrialProc
2	-	3	-2	0	-1	2 - 3 = -2	56	1		TrialProc
3	-	4	-1	1	0	3 - 4 = -1	56	1		TrialProc
5	-	3	2	1	0	5 - 3 = 2	56	1		TrialProc
9	+	9	17	0	-1	9 + 9 = 17	56	1		TrialProc
7	+	3	9	0	-1	7 + 3 = 9	56	1		TrialProc
4	-	9	-7	0	-2	4 - 9 = -7	56	1		TrialProc
2	+	7	9	1	0	2 + 7 = 9	56	1		TrialProc
4	+	5	9	1	0	4 + 5 = 9	56	1		TrialProc
9	-	6	3	1	0	9 - 6 = 3	56	1		TrialProc
5	+	7	11	0	-1	5 + 7 = 11	56	1		TrialProc
3	+	4	5	0	-2	3 + 4 = 5	56	1		TrialProc
3	-	5	-2	1	0	3 - 5 = -2	56	1		TrialProc
8	-	8	-2	0	-2	8 - 8 = -2	56	1		TrialProc
8	+	2	10	1	0	8 + 2 = 10	56	1		TrialProc
7	-	2	5	1	0	7 - 2 = 5	56	1		TrialProc
9	-	5	2	0	-2	9 - 5 = 2	56	1		TrialProc
2	-	8	-8	0	-2	2 - 8 = -8	56	1		TrialProc
2	+	8	8	0	-2	2 + 8 = 8	56	1		TrialProc
9	+	8	17	1	0	9 + 8 = 17	56	1		TrialProc
9	+	8	17	1	0	9 + 8 = 17	56	1		TrialProc
7	-	6	1	1	0	7 - 6 = 1	56	1		TrialProc
6	+	4	8	0	-2	6 + 4 = 8	56	1		TrialProc
5	+	8	11	0	-2	5 + 8 = 11	56	1		TrialProc
2	+	8	10	1	0	2 + 8 = 10	56	1		TrialProc
7	-	5	0	0	-2	7 - 5 = 0	56	1		TrialProc
8	-	4	2	0	-2	8 - 4 = 2	56	1		TrialProc
7	+	8	15	1	0	7 + 8 = 15	56	1		TrialProc
8	+	2	8	0	-2	8 + 2 = 8	56	1		TrialProc
5	+	7	11	0	-1	5 + 7 = 11	56	1		TrialProc
4	-	6	-4	0	-2	4 - 6 = -4	56	1		TrialProc
2	+	2	4	1	0	2 + 2 = 4	56	1		TrialProc
6	-	7	-3	0	-2	6 - 7 = -3	56	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	56	1		TrialProc
4	+	9	13	1	0	4 + 9 = 13	56	1		TrialProc
9	-	7	1	0	-1	9 - 7 = 1	56	1		TrialProc
3	-	9	-6	1	0	3 - 9 = -6	56	1		TrialProc
3	+	5	7	0	-1	3 + 5 = 7	56	1		TrialProc
2	-	9	-7	1	0	2 - 9 = -7	56	1		TrialProc
9	-	4	5	1	0	9 - 4 = 5	56	1		TrialProc
7	-	9	-2	1	0	7 - 9 = -2	56	1		TrialProc
8	-	5	1	0	-2	8 - 5 = 1	56	1		TrialProc
9	+	6	14	0	-1	9 + 6 = 14	56	1		TrialProc
4	-	6	-2	1	0	4 - 6 = -2	56	1		TrialProc
2	-	6	-4	1	0	2 - 6 = -4	56	1		TrialProc
6	-	8	-4	0	-2	6 - 8 = -4	56	1		TrialProc
5	+	7	12	1	0	5 + 7 = 12	56	1		TrialProc
3	-	7	-5	0	-1	3 - 7 = -5	56	1		TrialProc
4	+	5	9	1	0	4 + 5 = 9	56	1		TrialProc
5	+	8	11	0	-2	5 + 8 = 11	56	1		TrialProc
9	+	5	12	0	-2	9 + 5 = 12	56	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	56	1		TrialProc
2	+	7	8	0	-1	2 + 7 = 8	56	1		TrialProc
2	+	5	6	0	-1	2 + 5 = 6	56	1		TrialProc
4	+	8	12	1	0	4 + 8 = 12	57	1		TrialProc
9	+	3	12	1	0	9 + 3 = 12	57	1		TrialProc
7	-	6	0	0	-1	7 - 6 = 0	57	1		TrialProc
4	-	6	-2	1	0	4 - 6 = -2	57	1		TrialProc
3	+	3	5	0	-1	3 + 3 = 5	57	1		TrialProc
7	-	8	-3	0	-2	7 - 8 = -3	57	1		TrialProc
9	-	9	-1	0	-1	9 - 9 = -1	57	1		TrialProc
3	+	7	10	1	0	3 + 7 = 10	57	1		TrialProc
8	-	6	0	0	-2	8 - 6 = 0	57	1		TrialProc
3	+	6	8	0	-1	3 + 6 = 8	57	1		TrialProc
5	-	5	-1	0	-1	5 - 5 = -1	57	1		TrialProc
7	+	5	12	1	0	7 + 5 = 12	57	1		TrialProc
7	+	2	8	0	-1	7 + 2 = 8	57	1		TrialProc
7	-	9	-3	0	-1	7 - 9 = -3	57	1		TrialProc
8	-	8	-1	0	-1	8 - 8 = -1	57	1		TrialProc
6	+	7	13	1	0	6 + 7 = 13	57	1		TrialProc
7	+	5	12	1	0	7 + 5 = 12	57	1		TrialProc
2	-	4	-2	1	0	2 - 4 = -2	57	1		TrialProc
4	-	3	-1	0	-2	4 - 3 = -1	57	1		TrialProc
4	-	8	-6	0	-2	4 - 8 = -6	57	1		TrialProc
3	+	7	10	1	0	3 + 7 = 10	57	1		TrialProc
8	+	5	12	0	-1	8 + 5 = 12	57	1		TrialProc
2	-	7	-5	1	0	2 - 7 = -5	57	1		TrialProc
2	+	7	7	0	-2	2 + 7 = 7	57	1		TrialProc
6	+	8	14	1	0	6 + 8 = 14	57	1		TrialProc
4	+	5	8	0	-1	4 + 5 = 8	57	1		TrialProc
9	-	4	5	1	0	9 - 4 = 5	57	1		TrialProc
8	-	4	4	1	0	8 - 4 = 4	57	1		TrialProc
5	+	9	13	0	-1	5 + 9 = 13	57	1		TrialProc
8	-	6	2	1	0	8 - 6 = 2	57	1		TrialProc
3	-	7	-6	0	-2	3 - 7 = -6	57	1		TrialProc
9	-	3	5	0	-1	9 - 3 = 5	57	1		TrialProc
6	-	3	1	0	-2	6 - 3 = 1	57	1		TrialProc
8	-	4	4	1	0	8 - 4 = 4	57	1		TrialProc
9	-	4	4	0	-1	9 - 4 = 4	57	1		TrialProc
7	-	5	2	1	0	7 - 5 = 2	57	1		TrialProc
5	+	5	10	1	0	5 + 5 = 10	57	1		TrialProc
6	+	4	9	0	-1	6 + 4 = 9	57	1		TrialProc
3	+	3	6	1	0	3 + 3 = 6	57	1		TrialProc
2	+	2	2	0	-2	2 + 2 = 2	57	1		TrialProc
2	+	5	7	1	0	2 + 5 = 7	57	1		TrialProc
9	+	6	15	1	0	9 + 6 = 15	57	1		TrialProc
4	+	6	10	1	0	4 + 6 = 10	57	1		TrialProc
5	-	3	2	1	0	5 - 3 = 2	57	1		TrialProc
7	-	3	4	1	0	7 - 3 = 4	57	1		TrialProc
8	+	6	13	0	-1	8 + 6 = 13	57	1		TrialProc
6	+	3	7	0	-2	6 + 3 = 7	57	1		TrialProc
2	-	2	0	1	0	2 - 2 = 0	57	1		TrialProc
5	+	9	14	1	0	5 + 9 = 14	57	1		TrialProc
2	-	6	-4	1	0	2 - 6 = -4	57	1		TrialProc
8	-	6	1	0	-1	8 - 6 = 1	57	1		TrialProc
8	+	7	13	0	-2	8 + 7 = 13	57	1		TrialProc
6	+	7	11	0	-2	6 + 7 = 11	57	1		TrialProc
5	-	5	0	1	0	5 - 5 = 0	57	1		TrialProc
3	+	6	7	0	-2	3 + 6 = 7	57	1		TrialProc
7	-	4	3	1	0	7 - 4 = 3	57	1		TrialProc
4	+	2	4	0	-2	4 + 2 = 4	57	1		TrialProc
3	-	5	-2	1	0	3 - 5 = -2	57	1		TrialProc
4	-	8	-6	0	-2	4 - 8 = -6	57	1		TrialProc
6	+	8	14	1	0	6 + 8 = 14	57	1		TrialProc
6	-	2	4	1	0	6 - 2 = 4	58	1		TrialProc
2	+	8	9	0	-1	2 + 8 = 9	58	1		TrialProc
3	-	8	-5	1	0	3 - 8 = -5	58	1		TrialProc
3	+	2	5	1	0	3 + 2 = 5	58	1		TrialProc
8	-	2	5	0	-1	8 - 2 = 5	58	1		TrialProc
2	-	4	-3	0	-1	2 - 4 = -3	58	1		TrialProc
7	-	2	3	0	-2	7 - 2 = 3	58	1		TrialProc
5	+	7	11	0	-1	5 + 7 = 11	58	1		TrialProc
2	+	2	3	0	-1	2 + 2 = 3	58	1		TrialProc
8	-	3	5	1	0	8 - 3 = 5	58	1		TrialProc
2	-	5	-4	0	-1	2 - 5 = -4	58	1		TrialProc
3	+	4	7	1	0	3 + 4 = 7	58	1		TrialProc
2	-	9	-9	0	-2	2 - 9 = -9	58	1		TrialProc
3	+	5	8	1	0	3 + 5 = 8	58	1		TrialProc
4	+	3	5	0	-2	4 + 3 = 5	58	1		TrialProc
2	+	8	8	0	-2	2 + 8 = 8	58	1		TrialProc
5	-	4	1	1	0	5 - 4 = 1	58	1		TrialProc
9	-	5	3	0	-1	9 - 5 = 3	58	1		TrialProc
9	+	9	18	1	0	9 + 9 = 18	58	1		TrialProc
